,question,entities,MuHeQA_Keywords,FLERT_NER,BERT_NER,RoBERTA_NER
4158,what kind of celestial body is 2174 asmodeus,['2174 Asmodeus'],['2174 asmodeus'],[],[],['asmodeus']
4159,where did esther rolle die?,['Esther Rolle'],['esther rolle'],['esther rolle'],[],['esther rolle']
4160,what gender is natalie tong?,['Natalie Tong'],['natalie tong'],['natalie tong'],[],['natalie tong']
4161,who created the character mortalla,['Mortalla'],['character mortalla'],['mortalla'],[],['mortalla']
4162,What is the country of origin for the bad girls club,['Bad Girls Club'],['bad girls club'],[],[],[]
4163,Where in the United States did herbert adams die,['Herbert Adams'],"['united states', 'herbert adams']","['United States', 'herbert adams']",['United States'],"['United States', 'herbert adams']"
4164,What is inna gulaya's profession,['Inna Gulaya'],['inna gulaya'],['inna gulaya'],[],['inna gulaya']
4165,what is inky mark's gender,['Inky Mark'],"['inky mark', 'gender']",[],[],['inky mark']
4166,Name an album by king crimson.,['King Crimson'],['king crimson'],['crimson'],[],['crimson']
4167,who is male character in Yoyo hakusho,['male'],['yoyo hakusho'],['Yoyo hakusho'],['Yo'],['Yoyo hakusho']
4168,what music label is regurgitator with?,['Regurgitator'],['music label'],[],[],[]
4169,Which famous football players were born in zemun,['Zemun'],['zemun'],['zemun'],['zem'],['zemun']
4170,What country filmed i dream of murder,['I Dream of Murder'],['dream of'],[],[],[]
4171,where in canada was george r. ursul born?,['George R. Ursul'],"['canada', 'george r. ursul']","['canada', 'george r. ursul']",[],"['canada', 'george r. ursul']"
4172,Which city is located within the cuyahoga county?,['Cuyahoga County'],['cuyahoga county'],['cuyahoga'],[],['cuyahoga']
4173,What is nicolae ceaușescu's religion?,['Nicolae Ceaușescu'],['nicolae ceausescu'],['nicolae ceaușescu'],['eaușescu'],['nicolae ceauÈ Ļescu']
4174,Where was rick stein born?,['Rick Stein'],['rick stein'],['rick stein'],[],['rick stein']
4175,what person was  born in new york city?,['New York City'],['new york city'],['new york city'],[],['new york city']
4176,What position does Jerry Turner play? ,['Jerry Turner'],['jerry turner'],['Jerry Turner'],['Jerry Turner'],['Jerry Turner']
4177,What is ben zyskowicz's gender,['Ben Zyskowicz'],['ben zyskowicz'],['ben zyskowicz'],['ben z'],['ben zyskowicz']
4178,who created the character lee child,['Lee Child'],['lee child'],['lee'],[],['lee child']
4179,what language is a town like alice filmed in?,['A Town Like Alice'],['alice'],[],[],['alice']
4180,which nation is petre Țuțea with,['Petre Țuțea'],['petre tutea'],['petre Țuțea'],[],['petre È ļuÈ Ľea']
4181,What is an administrative division of the country argentina,['Argentina'],['country argentina'],['argentina'],['rgent'],['argentina']
4182,who was a famous person born in portland,['Portland'],['portland'],['portland'],[],['portland']
4183,what is the nationality of ralph jean-louis,['Ralph Jean-Louis'],['ralph jean-louis'],['ralph jean-louis'],[],['ralph jean-louis']
4184,what is the name of an female violin player,['violin'],['female violin player'],[],[],[]
4185,What artist is with RCA Records?,['RCA Records'],['rca records'],['RCA Records'],['RCA Records'],['RCA Records']
4186,Who is a techno artist,['techno'],['techno artist'],[],[],[]
4187,Name a person born in the the bronx.,['The Bronx'],['the bronx'],['bronx'],[],['bronx']
4188,What language was used to compose a world without love,['A World Without Love'],"['language', 'love']",[],[],[]
4189,what film was ingmar bergman a story contributor to?,['Ingmar Bergman'],['ingmar bergman'],['ingmar bergman'],[],['ingmar bergman']
4190,who is the artist on the geometrid,['The Geometrid'],['geometrid'],[],[],[]
4191,Who is a notable person that was born in boston,['Boston'],['boston'],['boston'],[],['boston']
4192,who directed the film vedham,['Vedham'],['film vedham'],[],[],['vedham']
4193,what position does joe reed play?,['Joe Reed'],['joe reed'],['joe reed'],[],['joe reed']
4194,which film did john ford directed,['John Ford'],['john ford'],['john ford'],[],['john ford']
4195,what was karl dönitz's place of death,['Karl Dönitz'],['karl donitz'],['karl dönitz'],"['ka', 'nitz']",['karl dÃ¶nitz']
4196,What country is yoo seung-ho from,['Yoo Seung-ho'],['yoo seung-ho'],['yoo seung-ho'],[],['yoo seung-ho']
4197,What is sola abolaji's nationality?,['Sola Abolaji'],['sola abolaji'],['sola abolaji'],[],['sola abolaji']
4198,what is the name of katherine swynford's son,['Katherine Swynford'],['katherine swynford'],['katherine swynford'],['ka'],['katherine swynford']
4199,whose mother gave birth to them in london,['London'],['london'],['london'],[],['london']
4200,who is a midfielder?,['midfielder'],['midfielder'],[],[],[]
4201,Where was john hainkel born?,['John Hainkel'],['john hainkel'],['john hainkel'],[],['john hainkel']
4202,what sort of music is colloquio affiliated with,['Colloquio'],['colloquio'],[],[],['colloquio']
4203,what kind of music does roman candle (band) perform,['Roman Candle'],['roman candle'],['roman'],[],['roman candle']
4204,Who's the executive producer of twin town,['Twin Town'],['twin town'],[],[],['twin town']
4205,which country is the interpreter from,['The Interpreter'],['country'],[],[],[]
4206,who wrote the book treasure island,['Treasure Island'],['book treasure island'],[],[],['treasure island']
4207,What is the sex of frederick william wallace?,['Frederick William Wallace'],['frederick william wallace'],['frederick william wallace'],[],['frederick william wallace']
4208,where did kaju sugiura die,['Kaju Sugiura'],['kaju sugiura'],['kaju sugiura'],['ka'],['kaju sugiura']
4209,who is the artist that created home by dawn,['Home by Dawn'],['home by dawn'],[],[],[]
4210,Which genre of music does hitomi make,['Hitomi'],['hitomi'],['hitomi'],[],['hitomi']
4211,who is the writer of the last day of a condemned man,['The Last Day of a Condemned Man'],['man'],[],[],[]
4212,What is linda lusardi's nationality,['Linda Lusardi'],['linda lusardi'],['linda lusardi'],['l'],['linda lusardi']
4213,which city did jacobus de voragine die,['Jacobus de Voragine'],['jacobus de voragine'],['jacobus de voragine'],[],['jacobus de voragine']
4214,What is a language of the film megamind?,['Megamind'],['film megamind'],[],[],['megamind']
4215,where in Estonia was linnart mäll born?,['Linnart Mäll'],"['linnart mall', 'estonia']","['Estonia', 'linnart mäll']",['Estonia'],"['Estonia', 'linnart mÃ¤ll']"
4216,What is the gender of dave bassett,['Dave Bassett'],['dave bassett'],['dave bassett'],[],['dave bassett']
4217,what kind of show is westerplatte?,['Westerplatte'],['westerplatte'],['westerplatte'],[],['westerplatte']
4218,Who directed the film kishen kanhaiya,['Kishen Kanhaiya'],['kishen kanhaiya'],['kishen kanhaiya'],[],['kishen kanhaiya']
4219,what city was edward s. curtis born in ,['Edward S. Curtis'],['edward s. curtis'],['edward s. curtis'],[],['edward s. curtis']
4220,What polish footballer was born in warsaw?,['Warsaw'],"['polish footballer', 'warsaw']","['polish', 'warsaw']",[],"['polish', 'warsaw']"
4221,who was the producer for the film  dead leaves,['Dead Leaves'],['film dead leaves'],[],[],['dead leaves']
4222,What country is nina söderquist from?,['Nina Söderquist'],['nina soderquist'],['nina söderquist'],['ö'],['nina sÃ¶derquist']
4223,what sport is fredericia hk famous for ,['Fredericia HK'],['fredericia hk'],['fredericia hk'],[],['fredericia hk']
4224,what film was produced by jules white?,['Jules White'],['jules white'],['jules white'],[],['jules white']
4225,What is joe kennedy's gender?,['Joe Kennedy'],['joe kennedy'],['joe kennedy'],[],['joe kennedy']
4226,who was the artist for switched-on bach ii,['Switched-On Bach II'],['on bach ii'],[],[],['switched-on bach ii']
4227,name a player who played the baseball position second baseman.,['second baseman'],"['player', 'baseball position second baseman']",[],[],[]
4228,which county contains blue nile,['Blue Nile'],['blue nile'],[],[],['blue nile']
4229,who was born in greenock,['Greenock'],['greenock'],['greenock'],[],['greenock']
4230,What position does billy hoeft play in baseball,['Billy Hoeft'],['billy hoeft'],['billy hoeft'],[],['billy hoeft']
4231,where is 4228 nemiro located ,['4228 Nemiro'],['4228 nemiro'],[],[],['nemiro']
4232,what country is house of tolerance from,['House of Tolerance'],['house of tolerance'],[],[],['house of tolerance']
4233,What country is the blind goddess from,['The Blind Goddess'],['country'],[],[],[]
4234,What do the characters in la linea speak  ,['La Linea'],['la linea'],[],[],['la linea']
4235,Where was albert hull born?,['Albert Hull'],['albert hull'],['albert hull'],[],['albert hull']
4236,what is a film directed by predrag antonijević,['Predrag Antonijević'],['predrag antonijevic'],['predrag antonijević'],"['pre', 'antoni']",['predrag antonijeviÄĩ']
4237,what instrument does nikolai lugansky play on,['Nikolai Lugansky'],['nikolai lugansky'],['nikolai lugansky'],['ni'],['nikolai lugansky']
4238,Name a professional actor.,['actor'],['professional actor'],[],[],[]
4239,what position does bryan kelly play in baseball,['Bryan Kelly'],['bryan kelly'],['bryan kelly'],[],['bryan kelly']
4240,Name a song from the muqaddar ka faisla film soundtrack,['Muqaddar Ka Faisla'],['muqaddar ka faisla'],['muqaddar ka faisla'],['m'],['muqaddar ka faisla']
4241,what football player was born in singapore,['Singapore'],['singapore'],['singapore'],[],['singapore']
4242,what county is john hardin from,['John Hardin'],['john hardin'],['john hardin'],[],['john hardin']
4243,who composed the song the way we were?,['The Way We Were'],['were'],[],[],[]
4244,what is a city in auglaize county ,['Auglaize County'],['auglaize county'],['auglaize'],[],['auglaize']
4245,what is the birthplace of joël vanhoebrouck,['Joël Vanhoebrouck'],['joel vanhoebrouck'],['joël vanhoebrouck'],"['j', 'ël vanhoebro']",['joÃ«l vanhoebrouck']
4246,Who's a country musician from america,['country music'],['america'],['america'],['americ'],['america']
4247,Who is from south boston,['South Boston'],['south boston'],['boston'],[],['south boston']
4248,where was daniel bekono originally from,['Daniel Bekono'],['daniel bekono'],['daniel bekono'],[],['daniel bekono']
4249,"what position does curtis marsh, jr. play?","['Curtis Marsh, Jr.']","['curtis marsh, jr']",['curtis marsh'],[],['curtis marsh']
4250,what type of architectural style does shingle style architecture use,['Shingle style architecture'],['shingle style architecture'],[],[],[]
4251,who made moment of glory ,['Moment of Glory'],['glory'],[],[],[]
4252,who is shyne's father,['Shyne'],['shyne'],['shyne'],[],['shyne']
4253,where is shirantha goonatilake's death place,['Shirantha Goonatilake'],['shirantha goonatilake'],['shirantha goonatilake'],['shir'],['shirantha goonatilake']
4254,what company is the invisible with?,['The Invisible'],['company'],[],[],[]
4255,what is sören link's nationality?,['Sören Link'],['soren link'],['sören link'],[],['sÃ¶ren link']
4256,"Who was birthed in dickson city, pennsylvania",['Dickson City'],"['pennsylvania', 'dickson city']","['dickson city', 'pennsylvania']",[],"['dickson city', 'pennsylvania']"
4257,which position does maksym hramm play ,['Maksym Hramm'],['maksym hramm'],['maksym hramm'],[],['maksym hramm']
4258,what is an example of moorish revival architecture?,['Moorish Revival architecture'],['moorish revival architecture'],[],[],['moorish']
4259,what is the gender of salvatore bruno?,['Salvatore Bruno'],['salvatore bruno'],['salvatore bruno'],[],['salvatore bruno']
4260,what was the episode before sexual harassment (the office),['Sexual Harassment'],"['sexual harassment', 'office']",[],[],[]
4261,what is luisa rossi's nationality  ,['Luisa Rossi'],['luisa rossi'],['luisa rossi'],[],['luisa rossi']
4262,who wrote t.m.i.,['T.M.I.'],['t.m.i'],[],[],['t.m.i.']
4263,what program was created by  charles m. schulz,['Charles M. Schulz'],['charles m. schulz'],['charles m. schulz'],[],['charles m. schulz']
4264,who is the developer of the videogame guitar hero: aerosmith?,['Guitar Hero: Aerosmith'],['guitar hero: aerosmith'],['aerosmith'],[],['guitar hero: aerosmith']
4265,What position did choi chang-yong play ,['Choi Chang-yong'],['choi chang-yong'],['choi chang-yong'],[],['choi chang-yong']
4266,which astronaut was in the space mission soyuz tma-1,['Soyuz TMA-1'],['space mission soyuz tma-1'],['soyuz tma-1'],[],['soyuz tma-1']
4267,What gender is Vesta Williams?,['Vesta Williams'],['vesta williams'],['Vesta Williams'],['Vesta Williams'],['Vesta Williams']
4268,Which country is the film happy tears from,['Happy Tears'],['happy tears'],[],[],[]
4269,What's a game from the series front mission,['Front Mission'],['series front mission'],[],[],[]
4270,which country did bob sherman die in,['Bob Sherman'],['bob sherman'],['bob sherman'],[],['bob sherman']
4271,What type of show is master swordsman lu xiaofeng 2?,['Master Swordsman Lu Xiaofeng 2'],['master swordsman lu xiaofeng 2'],['lu xiaofeng 2'],[],['lu xiaofeng 2']
4272,what is the artist from the album songs of scotland,['Songs of Scotland'],['songs of scotland'],['scotland'],[],['songs of scotland']
4273,What country is cowan lake within,['Cowan Lake'],['cowan lake'],[],[],['cowan lake']
4274,what lyrics were written by howard ashman?,['Howard Ashman'],['howard ashman'],['howard ashman'],[],['howard ashman']
4275,Which genre of film is rock star (film)?,['Rock Star'],"['film', 'rock star', 'film']",[],[],[]
4276,Who plays defender in soccer,['defender'],['soccer'],[],[],[]
4277,where was osvaldo golijov born?,['Osvaldo Golijov'],['osvaldo golijov'],['osvaldo golijov'],[],['osvaldo golijov']
4278,who developed sega soccer slam,['Sega Soccer Slam'],['sega soccer slam'],['sega'],[],['sega']
4279,what is an administrative division in somalia,['Somalia'],['somalia'],[],[],['somalia']
4280,Name a new wave music artist,['new wave'],['new wave music artist'],[],[],[]
4281,where was  andrzej pałys born,['Andrzej Pałys'],['andrzej pałys'],['andrzej pałys'],[],['andrzej paÅĤys']
4282,which country does john hollinger belong to?,['John Hollinger'],['john hollinger'],['john hollinger'],[],['john hollinger']
4283,which european country is brighton and hove in ,['Brighton and Hove'],"['brighton and hove', 'european country']","['european', 'brighton', 'hove']",[],"['european', 'brighton and hove']"
4284,what country is charleston in?,['Charleston'],['charleston'],['charleston'],[],['charleston']
4285,what type of game is lode runner,['Lode Runner'],['lode runner'],[],[],[]
4286,where is the location of mary eleanor wilkins freeman's death,['Mary Eleanor Wilkins Freeman'],['mary eleanor wilkins freeman'],['mary eleanor wilkins freeman'],[],['mary eleanor wilkins freeman']
4287,who plays the piano?,['piano'],['piano'],[],[],[]
4288,what types of game is plaque attack,['Plaque Attack'],"['game', 'plaque attack']",[],[],[]
4289,What position does mike varty play,['Mike Varty'],['mike varty'],['mike varty'],[],['mike varty']
4290,what kingdom was involved in battle of restigouche,['Battle of Restigouche'],['restigouche'],['restigouche'],[],['restigouche']
4291,What type of celestial object is 1389 onnie,['1389 Onnie'],['1389 onnie'],[],[],[]
4292,who participated in the album the best of celine dion,['Best of Celine Dion'],['celine dion'],['celine dion'],[],['celine dion']
4293,where in china did zhang juzheng die,['Zhang Juzheng'],"['zhang juzheng', 'china']","['china', 'zhang juzheng']",['z'],"['china', 'zhang juzheng']"
4294,where was timothy drury born ,['Timothy Drury'],['timothy drury'],['timothy drury'],[],['timothy drury']
4295,Who directed boss of bullion city?,['Boss of Bullion City'],['bullion city'],[],[],['bullion']
4296,what gameplay modes are available for elasto mania,['Elasto Mania'],['elasto mania'],[],[],[]
4297,what film did gregg toland do the cinematography for,['Gregg Toland'],['gregg toland'],['gregg toland'],[],['gregg toland']
4298,What is the lower classification for the gryllidae,['Gryllidae'],['gryllidae'],[],[],['gryllidae']
4299,Who put together the music for the movie dans les rues,['Dans les rues'],['dans les rues'],['dans les rues'],['rue'],['dans les rues']
4300,which gender is rudra mohammad shahidullah,['Rudra Mohammad Shahidullah'],['rudra mohammad shahidullah'],['rudra mohammad shahidullah'],['r'],['rudra mohammad shahidullah']
4301,where did erik gustaf boström pass away ,['Erik Gustaf Boström'],['erik gustaf bostrom'],['erik gustaf boström'],[],['erik gustaf bostrÃ¶m']
4302,What's a work by philip roth,['Philip Roth'],"['what', 'philip roth']",['philip roth'],[],['philip roth']
4303,where was johann christian kittel born,['Johann Christian Kittel'],['johann christian kittel'],['johann christian kittel'],[],['johann christian kittel']
4304,what city used pacific time zone in Japan,['Pacific Time Zone'],"['japan', 'pacific', 'zone']",['Japan'],['Japan'],"['pacific', 'Japan']"
4305,what is ion dragoumis known for ,['Ion Dragoumis'],['ion dragoumis'],[],[],['ion dragoumis']
4306,what position did ben stephens play?,['Ben Stephens'],['ben stephens'],['ben stephens'],[],['ben stephens']
4307,what is the primary language of neutral port,['Neutral Port'],['neutral port'],[],[],[]
4308,What 1936 film did gregory la cava write?,['Gregory La Cava'],['gregory la cava'],['gregory la cava'],[],['gregory la cava']
4309,which census designated place is found in willacy county,['Willacy County'],['willacy county'],['willacy'],[],['willacy']
4310,Which country did the program fireball xl5 originate in?,['Fireball XL5'],['program fireball xl5'],[],[],['fireball xl5']
4311,What position does basketball player damien wilkins play?,['Damien Wilkins'],['basketball player damien wilkins'],['damien wilkins'],[],['damien wilkins']
4312,What's a conflict that took place in washington county,['Washington County'],['washington county'],['washington'],[],['washington county']
4313,Who is the oldest son of will smith?,['Will Smith'],['will smith'],['will smith'],[],['will smith']
4314,what gender does poghos galstyan identify with,['Poghos Galstyan'],['poghos galstyan'],['poghos galstyan'],['gal'],['poghos galstyan']
4315,What gender is Kaspar Munk?,['Kaspar Munk'],['kaspar munk'],['Kaspar Munk'],['Kaspar Munk'],['Kaspar Munk']
4316,What is the name of the city where walter bullock died?,['Walter Bullock'],['walter bullock'],['walter bullock'],[],['walter bullock']
4317,what is the musician for what a wonderful world,['What a Wonderful World'],['wonderful world'],[],[],[]
4318,what language is spoken in inaam dus hazaar,['Inaam Dus Hazaar'],"['ha', 'ina']",['inaam dus hazaar'],[],['inaam dus hazaar']
4319,Who is a novelist born in 1939?,['novelist'],"['novelist', '1939']",[],[],[]
4320,Is abdul ghafoor ahmed a male or female,['Abdul Ghafoor Ahmed'],['abdul ghafoor ahmed'],['abdul ghafoor ahmed'],[],['abdul ghafoor ahmed']
4321,in what language is long live sung,['Long Live'],['language'],[],[],['long live sung']
4322,Which bridge is a covered bridge?,['covered bridge'],"['bridge', 'covered bridge']",[],[],[]
4323,in what language is the young nurses spoken,['The Young Nurses'],"['language', 'young nurses']",[],[],[]
4324,what is located in the mountain time zone?,['Mountain Time Zone'],['mountain time zone'],[],[],[]
4325,what film genre is the order of myths under netflix,['The Order of Myths'],['netflix'],[],[],['netflix']
4326,where did zygmunt hobot die?,['Zygmunt Hobot'],['zygmunt hobot'],['zygmunt hobot'],[],['zygmunt hobot']
4327,"What is the profession of mel farr, jr.","['Mel Farr, Jr.']",['mel farr'],['mel farr'],[],['mel farr']
4328,what company produces penn & teller's smoke and mirrors,"[""Penn & Teller's Smoke and Mirrors""]",['penn & teller'],[],[],"[""penn & teller's""]"
4329,Which country did the film mutharamkunnu p.o. come from,['Mutharamkunnu P.O.'],['film mutharamkunnu p.o.'],['mutharamkunnu p.o.'],['uth'],['mutharamkunnu p.o.']
4330,which country created mercury ,['Mercury'],"['country', 'mercury']",[],[],[]
4331,What is the name of a documentary film,['documentary film'],['documentary film'],[],[],[]
4332,what country is  ashgabat from,['Ashgabat'],['ashgabat'],[],[],['ashgabat']
4333,what country gives nationality to gennadi styopushkin,['Gennadi Styopushkin'],['gennadi styopushkin'],['gennadi styopushkin'],['g'],['gennadi styopushkin']
4334,Which genre of music does goldie record?,['Goldie'],['goldie record'],[],[],['goldie']
4335,who is a delta blues artist,['Delta blues'],['delta blues artist'],[],[],[]
4336,what is production company of the film barfly?,['Barfly'],['film barfly'],['barfly'],[],['barfly']
4337,"Who was born in kansas city, missouri?",['Kansas City'],"['kansas city', 'missouri']","['kansas city', 'missouri']",['ka'],"['kansas city', 'missouri']"
4338,what film series is cremaster 1 apart of,['Cremaster 1'],['cremaster 1'],['cremaster 1'],[],[]
4339,Where was matthew locke born?,['Matthew Locke'],['matthew locke'],['matthew locke'],[],['matthew locke']
4340,What film did vidhu vinod chopra produce?,['Vidhu Vinod Chopra'],['vidhu vinod chopra'],['vidhu vinod chopra'],[],['vidhu vinod chopra']
4341,Name a famous photographer,['photographer'],['famous photographer'],[],[],[]
4342,what language is spoken in high school stories,['High School Stories'],"['language', 'high school stories']",[],[],[]
4343,which album has the artist boyd rice in it?,['Boyd Rice'],['boyd rice'],['boyd rice'],[],[]
4344,where was lise lindbæk born,['Lise Lindbæk'],['lise lindbæk'],['lise lindbæk'],[],['lise lindbÃ¦k']
4345,Who was an astronaut on sts-111,['STS-111'],['sts-111'],[],[],['sts-111']
4346,what country is lourdes benedicto from,['Lourdes Benedicto'],['lourdes benedicto'],['lourdes benedicto'],[],['lourdes benedicto']
4347,Where did karel frederik wenckebach pass away?,['Karel Frederik Wenckebach'],['karel frederik wenckebach'],['karel frederik wenckebach'],[],['karel frederik wenckebach']
4348,who discovered 11836 eileen,['11836 Eileen'],['11836 eileen'],[],[],['eileen']
4349,What is ernest jay's nationality?,['Ernest Jay'],['ernest jay'],['ernest jay'],[],['ernest jay']
4350,what city did pyotr durnovo die in?,['Pyotr Durnovo'],['pyotr durnovo'],['pyotr durnovo'],['pyo'],['pyotr durnovo']
4351,who is bedlam directed by,['Bedlam'],['who is bedlam'],[],[],[]
4352,Who is a musician signed to columbia records?,['Columbia Records'],['columbia records'],['columbia'],['co'],['columbia records']
4353,what is spoken in a night in tuscany,['A Night in Tuscany'],['tuscany'],['tuscany'],['can'],['tuscany']
4354,What profession does malcolm stuart boylan hold?,['Malcolm Stuart Boylan'],['malcolm stuart boylan'],['malcolm stuart boylan'],['ma'],['malcolm stuart boylan']
4355,what is the sex of victor zotov,['Victor Zotov'],['victor zotov'],['victor zotov'],[],['victor zotov']
4356,what tv program is documentary film,['documentary film'],"['tv program', 'documentary film']",[],[],[]
4357,"Who is a parent of charles v, holy roman emperor","['Charles V, Holy Roman Emperor']","['charles v', 'holy roman emperor']","['charles v', 'roman']",[],"['charles v', 'holy roman']"
4358,Who was born in sombor?,['Sombor'],['sombor'],['sombor'],[],['sombor']
4359,"bago, negros occidental is an administrative division in which country?",['Bago'],"['bago', 'negros occidental']",['negros occidental'],[],"['bago', 'negros occidental']"
4360,What bridge goes over the industrial canal,['Industrial Canal'],"['bridge', 'industrial canal']",[],[],[]
4361,what is tariq ibn ziyad's profession ,['Tariq ibn Ziyad'],['tariq ibn ziyad'],['tariq ibn ziyad'],['ta'],['tariq ibn ziyad']
4362,what is the position of football player zvjezdan cvetković,['Zvjezdan Cvetković'],['football player zvjezdan cvetkovic'],['zvjezdan cvetković'],"['zv', 'zda', 'cvet']",['zvjezdan cvetkoviÄĩ']
4363,Who is the artist of the album easy does it?,['Easy Does It'],['easy does it'],[],[],['easy']
4364,Which county is tribes hill located in,['Tribes Hill'],['tribes hill'],[],[],['tribes hill']
4365,Where was (8495) 1990 qv1 discovered,['(8495) 1990 QV1'],"['8495', '1990 qv1']",[],[],[]
4366,Where was son of frankenstein filmed?,['Son of Frankenstein'],['son of frankenstein'],['son of frankenstein'],[],['son of frankenstein']
4367,"What genre does the film, o.k., fall under?",['O.k.'],['o.k'],[],[],['o.k']
4368,what type of film is david magee,['David Magee'],['david magee'],['david magee'],[],['david magee']
4369,What gender is santiago fusilier?,['Santiago Fusilier'],['santiago fusilier'],['fusilier'],[],['santiago']
4370,which was chairul tanjung born,['Chairul Tanjung'],['chairul tanjung'],['chairul tanjung'],[],['chairul tanjung']
4371,what kind of movie is the backyard,['The Backyard'],"['movie', 'backyard']",[],[],[]
4372,which country does adalita srsen represent,['Adalita Srsen'],['adalita srsen'],['adalita srsen'],[],['adalita srsen']
4373,who is the author of the book george washington?,['George Washington'],['book george washington'],['george washington'],[],['george washington']
4374,where was 7343 ockeghem discovered ,['7343 Ockeghem'],['7343 ockeghem'],[],[],['ockeghem']
4375,what types of book is the problem of the covered bridge,['The Problem of the Covered Bridge'],"['book', 'covered bridge']",[],[],[]
4376,what is 3891 werner ,['3891 Werner'],['werner'],[],[],['werner']
4377,Name one film in which robert wise is the director of,['Robert Wise'],['robert wise'],['robert wise'],[],['robert wise']
4378,Name someone who plays as a defender,['defender'],"['someone', 'defender']",[],[],[]
4379,What is the nationality of peter butt?,['Peter Butt'],['peter butt'],['peter butt'],[],['peter butt']
4380,which country did alfredo kraus die in,['Alfredo Kraus'],['alfredo kraus'],['alfredo kraus'],[],['alfredo kraus']
4381,which country is thaddeus hyatt from ,['Thaddeus Hyatt'],['thaddeus hyatt'],['thaddeus hyatt'],[],['thaddeus hyatt']
4382,who was born in greenwich,['Greenwich'],['greenwich'],['greenwich'],['green'],['greenwich']
4383,which hawaiian city is brian gaskill's place of birth?,['Brian Gaskill'],"['hawaiian city', 'brian gaskill']",['brian gaskill'],[],"['hawaiian', 'brian gaskill']"
4384,What band wrote the album the amalgamut?,['The Amalgamut'],['the amalgamut'],[],[],['the amalgamut']
4385,where in california did  leo g. carroll die,['Leo G. Carroll'],"['leo g. carroll', 'california']","['california', 'leo g. carroll']",[],"['california', 'leo g. carroll']"
4386,What country is don's plum from,"[""Don's Plum""]",['don'],[],[],[]
4387,which album is of the soul music genre,['soul music'],['soul music genre'],[],[],[]
4388,What is a work written by author agatha christie?,['Agatha Christie'],['author agatha christie'],['agatha christie'],[],['agatha christie']
4389,who has interment in mount hope cemetery,['Mount Hope Cemetery'],['mount hope cemetery'],['mount hope cemetery'],[],['mount hope cemetery']
4390,what country is lassie from,['Lassie'],['lassie'],[],[],['lassie']
4391,what is a drama film released in 1974?,['drama film'],"['drama film', '1974']",[],[],[]
4392,what kind of genre is shadows of desire,['Shadows of Desire'],['shadows of desire'],[],[],[]
4393,what genre is the game  shaman king: soul fight,['Shaman King: Soul Fight'],['shaman king: soul fight'],['shaman king'],[],"['shaman king', 'soul fight']"
4394,what label are the butthole surfers signed to,['Butthole Surfers'],['butthole surfers'],[],[],[]
4395,What kind of bridge is the john p. grace memorial bridge,['John P. Grace Memorial Bridge'],['john p. grace memorial bridge'],['john p. grace'],[],['john p. grace memorial bridge']
4396,What position does václav němeček play?,['Václav Němeček'],['vaclav nemecek'],['václav němeček'],"['vá', 'lav']",['vÃ¡clav nÄ ĽmeÄįek']
4397,Name a city in allegheny county,['Allegheny County'],['allegheny county'],['allegheny'],['all'],['allegheny county']
4398,which city was john gilbert born in,['John Gilbert'],['john gilbert'],['john gilbert'],[],['john gilbert']
4399,who was born in bisbee,['Bisbee'],['bisbee'],['bisbee'],['bi'],['bisbee']
4400,what military personnel was involved in  world war ii,['World War II'],['world war ii'],[],[],['world war ii']
4401,Name a person who was born in poltava,['Poltava'],['poltava'],['poltava'],[],['poltava']
4402,What type of film is cold sweat considered,['Cold Sweat'],"['film', 'cold sweat']",[],[],[]
4403,where was alfred müller born,['Alfred Müller'],['alfred muller'],['alfred müller'],['al'],['alfred mÃ¼ller']
4404,what is the house in new york that showcases queen anne style architecture,['Queen Anne style architecture'],"['new york', 'queen anne style architecture']","['new york', 'anne']",[],"['new york', 'queen anne style']"
4405,what films have james newton howard participated in?,['James Newton Howard'],['james newton howard'],['james newton howard'],[],['james newton howard']
4406,What nationality is rené cogny,['René Cogny'],['rene cogny'],['rené cogny'],[],['renÃ© cogny']
4407,is george puttenham male or female,['George Puttenham'],['george puttenham male or female'],['george puttenham'],[],['george puttenham']
4408,Where was harry revel born?,['Harry Revel'],['harry revel'],['harry revel'],[],['harry revel']
4409,what is football position of jamal reynolds ,['Jamal Reynolds'],['jamal reynolds'],['jamal reynolds'],[],['jamal reynolds']
4410,What is a film that was executively produced by kevin bacon,['Kevin Bacon'],"['kevin bacon', 'what']",['kevin bacon'],[],['kevin bacon']
4411,what is the profession of david heavener?,['David Heavener'],['david heavener'],['david heavener'],[],['david heavener']
4412,what is a previous work in the series anne of the island,['Anne of the Island'],['anne of the island'],['anne of the island'],[],['anne of the island']
4413,Who is a notable person from davenport,['Davenport'],['davenport'],['davenport'],['da'],['davenport']
4414,whats the name of a rock music artist,['rock music'],['rock music artist'],[],[],[]
4415,What nationality is Kenneth Utt?,['Kenneth Utt'],['kenneth utt'],['Kenneth Utt'],['Kenneth Utt'],['Kenneth Utt']
4416,what position does john munyan play in baseball?,['John Munyan'],['john munyan'],['john munyan'],[],['john munyan']
4417,Who developed the game final fight,['Final Fight'],['game final fight'],[],[],[]
4418,what county is duncan in,['Duncan'],['duncan'],['duncan'],[],['duncan']
4419,Name an experimental rock album.,['experimental rock'],['experimental rock album'],[],[],[]
4420,which italian city did majorian die in,['Majorian'],"['majorian', 'italian city']",['italian'],[],"['italian', 'majorian']"
