,question,entities,MuHeQA_NER,MuHeQA_PoS,MuHeQA_NER+PoS,FLERT,BERT,RoBERTA,MuHeQA_FLERT
5296,what is shaun groves's nationality,['Shaun Groves'],['shaun groves'],"['shaun groves', 'nationality']",['shaun groves'],['shaun groves'],[],['shaun groves'],['shaun groves']
5297,what defensive position does tra boger play,['Tra Boger'],[],"['defensive position', 'tra boger']","['defensive position', 'tra boger']",['tra boger'],[],['tra boger'],['tra boger']
5298,who edited rudraksh,['Rudraksh'],['rudraksh'],['rudraksh'],['rudraksh'],[],[],['rudraksh'],['rudraksh']
5299,Who is a notable person that was born in smyrna,['Smyrna'],['smyrna'],"['notable person', 'smyrna']",['smyrna'],['smyrna'],['s'],['smyrna'],['smyrna']
5300,what is the biological gender of jean absil?,['Jean Absil'],['jean absil'],['jean absil'],['jean absil'],['jean absil'],[],['jean absil'],['jean absil']
5301,Which administrative division is located in united kingdom?,['United Kingdom'],['united kingdom'],"['administrative division', 'united kingdom']",['united kingdom'],['united kingdom'],[],['united kingdom'],['united kingdom']
5302,who is the band of spasm smash xxxoxox ox and ass,['Spasm Smash XXXOXOX Ox & Ass'],['spasm smash'],['spasm smash xxxoxox ox and ass'],['spasm smash xxxoxox ox and ass'],[],[],['band of spasm smash xxxoxox ox and ass'],['spasm smash xxxoxox ox and ass']
5303,Who is someone from paris,['Paris'],['paris'],['paris'],['paris'],['paris'],[],['paris'],['paris']
5304,what country was invasion filmed,['Invasion'],[],"['country', 'invasion']","['country', 'invasion']",[],[],[],"['country', 'invasion']"
5305,what is harri heliövaara's gender,['Harri Heliövaara'],['harri heliovaara'],"['harri heliövaara', 'gender']",['harri heliovaara'],['harri heliövaara'],[],['harri heliÃ¶vaara'],['harri heliövaara']
5306,who composed boulevard of broken dreams,['Boulevard of Broken Dreams'],['boulevard of broken dreams'],['dreams'],['boulevard of broken dreams'],[],[],['boulevard of'],['dreams']
5307,where is ed earl repp from?,['Ed Earl Repp'],['ed earl repp'],[],['ed earl repp'],[],[],['ed earl repp'],[]
5308,who is dylan thomas's child ,['Dylan Thomas'],['dylan thomas'],"['dylan thomas', 'child']",['dylan thomas'],['dylan thomas'],['dyla'],['dylan thomas'],['dylan thomas']
5309,What is the nationality of baltzar von platen?,['Baltzar von Platen'],['baltzar von platen'],[],['baltzar von platen'],['baltzar von platen'],[],['baltzar von platen'],['baltzar von platen']
5310,what is the occupation of hans krása,['Hans Krása'],['hans krasa'],['hans'],['hans krasa'],[],[],['hans krÃ¡sa'],['hans']
5311,which country is a place between – the story of an adoption originally from,['A Place Between – The Story of an Adoption'],[],"['country', 'adoption']","['country', 'adoption']",[],[],[],"['country', 'adoption']"
5312,Where is peravia province?,['Peravia Province'],['peravia'],['province'],['peravia'],['peravia'],['peravia'],['peravia'],['peravia']
5313,who is one of james wilfred estey's children,['James Wilfred Estey'],['james wilfred estey'],"['james wilfred estey', 'children']",['james wilfred estey'],['james wilfred estey'],[],['james wilfred estey'],['james wilfred estey']
5314,What kind of music is mizutamari ni utsuru sekai,['Mizutamari ni Utsuru Sekai'],['mizutamari ni utsuru sekai'],['music'],['mizutamari ni utsuru sekai'],['mizutamari ni utsuru sekai'],[],['mizutamari ni utsuru sekai'],['mizutamari ni utsuru sekai']
5315,What does 4177 kohman orbit,['4177 Kohman'],['kohman'],['4177 kohman orbit'],['4177 kohman orbit'],[],[],['kohman'],['4177 kohman orbit']
5316,what does theodor w. adorno do as a profession ,['Theodor W. Adorno'],['theodor w. adorno'],"['theodor', 'profession']",['theodor w. adorno'],['theodor w. adorno'],[],['theodor w. adorno'],['theodor w. adorno']
5317,where is brice assie's nationality,['Brice Assie'],['brice assie'],"['brice assie', 'nationality']",['brice assie'],['brice assie'],[],['brice assie'],['brice assie']
5318,where did dimitri nicolau die,['Dimitri Nicolau'],['dimitri nicolau'],['dimitri nicolau'],['dimitri nicolau'],['dimitri nicolau'],[],['dimitri nicolau'],['dimitri nicolau']
5319,what country is attack of the 50 ft. woman from?,['Attack of the 50 Ft. Woman'],[],['country'],['country'],[],[],[],['country']
5320,which american author was born in champéry?,['Champéry'],"['american', 'champery']","['american author', 'champéry']","['champery', 'american author']",['american'],[],"['american', 'champÃ©ry']",['american author']
5321,what is raj n. sippy's nationality?,['Raj N. Sippy'],['raj n. sippy'],"['raj n. sippy', 'nationality']",['raj n. sippy'],['raj n. sippy'],[],['raj n. sippy'],['raj n. sippy']
5322,where is andy milder from?,['Andy Milder'],['andy milder'],[],['andy milder'],['andy milder'],[],['andy'],['andy milder']
5323,What genre is the album garbage,['Garbage'],['garbage'],"['genre', 'album garbage']",['album garbage'],[],[],[],"['genre', 'album garbage']"
5324,what kinds of movie is the cassandra crossing,['The Cassandra Crossing'],['cassandra crossing'],"['movie', 'cassandra crossing']",['cassandra crossing'],['cassandra crossing'],[],['cassandra'],['cassandra crossing']
5325,who directed the film john and mary,['John and Mary'],['john and mary'],['film john and mary'],['film john and mary'],"['john', 'and mary']",[],['john and mary'],['film john and mary']
5326,what film did shane black write?,['Shane Black'],['shane black'],['film'],['shane black'],['shane black'],[],['shane black'],['shane black']
5327,who is a male character from csi: miami?,['male'],['csi: miami'],"['csi', 'miami']",['csi: miami'],['miami'],[],['csi: miami'],['miami']
5328,what is the name of a city in mountain time zone,['Mountain Time Zone'],[],['mountain time zone'],['mountain time zone'],[],[],[],['mountain time zone']
5329,who created the program o2be,['O2Be'],['o2be'],['program o2be'],['program o2be'],[],[],['o2be'],['program o2be']
5330,Who is the namesake of theodore stevens,['Ted Stevens'],['theodore stevens'],['theodore stevens'],['theodore stevens'],['theodore stevens'],[],['theodore stevens'],['theodore stevens']
5331,What position did beniamino abate play,['Beniamino Abate'],['beniamino abate'],"['position', 'beniamino abate']",['beniamino abate'],['beniamino'],[],['beniamino abate'],['beniamino abate']
5332,What rank of organism classification is aphelocoma,['Aphelocoma'],[],"['organism classification', 'aphelocoma']","['organism classification', 'aphelocoma']",[],[],['oma'],"['organism classification', 'aphelocoma']"
5333,What city and state was dickey lee born?,['Dickey Lee'],['dickey lee'],"['city and state', 'dickey lee']",['dickey lee'],['dickey lee'],[],['dickey lee'],['dickey lee']
5334,where does the film where eskimos live come from ,['Where Eskimos Live'],['where eskimos'],"['film', 'eskimos']",['where eskimos'],[],[],['eskimos'],"['film', 'eskimos']"
5335,What genre is the dark knight,['The Dark Knight'],['dark knight'],"['genre', 'dark knight']",['dark knight'],[],[],[],"['genre', 'dark knight']"
5336,what is  joe o'donnell birth place,"[""Joe O'Donnell""]","[""joe o'donnell""]","[""joe o'donnell birth place""]","[""joe o'donnell birth place""]","[""joe o'donnell""]",[],"[""joe o'donnell""]","[""joe o'donnell birth place""]"
5337,What country contains helena valley southeast,['Helena Valley Southeast'],['helena'],"['country', 'helena valley southeast']",['helena valley southeast'],['helena valley'],[],['helena valley'],['helena valley southeast']
5338,what position does mattias Östberg play ,['Mattias Östberg'],['mattias ostberg'],"['position', 'mattias Östberg']",['mattias ostberg'],['mattias Östberg'],['Östberg'],['mattias Ãĸstberg'],['mattias Östberg']
5339,Who is from birmingham?,['Birmingham'],['birmingham'],['birmingham'],['birmingham'],['birmingham'],['bi'],['birmingham'],['birmingham']
5340,what is leonid nevzlins profession,['Leonid Nevzlin'],['leonid nevzlins'],['leonid nevzlins profession'],['leonid nevzlins profession'],['leonid nevzlins'],[],['leonid nevzlins'],['leonid nevzlins profession']
5341,What album was produced by kaci brown,['Rafael de Penagos'],['kaci brown'],"['album', 'brown']",['kaci brown'],['kaci brown'],['ka'],['kaci brown'],['kaci brown']
5342,who was born in inverness?,['Inverness'],['inverness'],['inverness'],['inverness'],['inverness'],[],['inverness'],['inverness']
5343,what nation is  per hækkerup from,['Per Hækkerup'],['per hækkerup'],['nation'],['per hækkerup'],[],[],['per hÃ¦kkerup'],['nation']
5344,Which country did the wizard of oz (1939 film) originate in?,['The Wizard of Oz'],['the wizard of oz'],"['country', 'oz', '1939 film']",['the wizard of oz'],['wizard of oz'],[],['wizard of oz'],['wizard of oz']
5345,"how did norton knatchbull, 6th baron brabourne die?","['Norton Knatchbull, 6th Baron Brabourne']","['norton knatchbull', 'brabourne']","['norton knatchbull', '6th baron brabourne']","['norton knatchbull', '6th baron brabourne']","['norton knatchbull', 'brabourne']","['nor', 'bra']","['norton knatchbull', 'on brabourne']","['norton knatchbull', '6th baron brabourne']"
5346,what type of music does lady daisey make,['Lady Daisey'],['lady daisey'],"['music', 'lady daisey']",['lady daisey'],['lady daisey'],[],['lady daisey'],['lady daisey']
5347,Who was born in soviet union,['Soviet Union'],['soviet union'],['soviet union'],['soviet union'],[],[],['soviet union'],['soviet union']
5348,What gender is cándido méndez,['Cándido Méndez Rodríguez'],['candido mendez'],['gender'],['candido mendez'],[],['c'],['cÃ¡ndido mÃ©ndez'],['gender']
5349,What is william mcneill's gender,['William Hardy McNeill'],['william mcneill'],"['william mcneill', 'gender']",['william mcneill'],['william mcneill'],['will'],['william mcneill'],['william mcneill']
5350,what unreleased third-person shooter/survival horror game was co-developed by Irrational Games?,['Irrational Games'],['irrational games'],"['unreleased third-person shooter', 'survival horror game', 'Irrational Games']",['irrational games'],['Irrational Games'],['Irrational Games'],['Irrational Games'],['Irrational Games']
5351,Who is interred at kumsusan palace of the sun?,['Kumsusan Palace of the Sun'],['kumsusan palace of the sun'],['sun'],['kumsusan palace of the sun'],['kumsusan palace of the sun'],[],['kumsusan palace of the sun'],['kumsusan palace of the sun']
5352,who wrote the film daniel pyne,['Daniel Pyne'],['daniel pyne'],['film daniel pyne'],['film daniel pyne'],['daniel pyne'],[],['daniel pyne'],['film daniel pyne']
5353,Where is jonathan caouette from?,['Jonathan Caouette'],['jonathan caouette'],[],['jonathan caouette'],['jonathan caouette'],[],['jonathan caouette'],['jonathan caouette']
5354,what is the religion of james spigelman,['James Spigelman'],['james spigelman'],['james spigelman'],['james spigelman'],['james spigelman'],[],['james spigelman'],['james spigelman']
5355,"What actor from Emmanuelle in Space was born in long beach, california?",['Long Beach'],"['emmanuelle in space', 'long beach', 'california']","['Space', 'long beach', 'california']","['long beach', 'california', 'emmanuelle in space']","['Emmanuelle in Space', 'long beach', 'california']","['Emmanuelle', 'Space']","['Emmanuelle in Space', 'long beach', 'california']","['long beach', 'california', 'Emmanuelle in Space']"
5356,Name an actor.,['actor'],[],['actor'],['actor'],[],[],[],['actor']
5357,what is the primary language for the moment,['The Moment'],[],['moment'],['moment'],[],[],[],['moment']
5358,Who released under great white northern lights? ,['Under Great White Northern Lights'],['great white northern lights'],['great white northern lights'],['great white northern lights'],[],[],[],['great white northern lights']
5359,What is a film directed by sam newfield?,['Sam Newfield'],['sam newfield'],"['film', 'sam newfield']",['sam newfield'],['sam newfield'],[],['sam newfield'],['sam newfield']
5360,What country was the film Baby Clothes produced in?,['Baby Clothes'],['baby clothes'],"['country', 'film Baby Clothes']",['film baby clothes'],['Baby Clothes'],['Baby Clothes'],['Baby Clothes'],['Baby Clothes']
5361,in what country was flatland flimed,['Flatland'],[],"['country', 'flatland']","['country', 'flatland']",[],[],['flatland flimed'],"['country', 'flatland']"
5362,what country is  claremore lake in,['Claremore Lake'],['claremore lake'],['country'],['claremore lake'],['claremore lake'],[],['claremore lake'],['claremore lake']
5363,where did rolandas pavilionis become deceased,['Rolandas Pavilionis'],['rolandas pavilionis'],['rolandas pavilionis'],['rolandas pavilionis'],['rolandas pavilionis'],[],['rolandas pavilionis'],['rolandas pavilionis']
5364,What is otto schultz's birth place,['Otto Schultz'],['otto schultz'],"['otto schultz', 'birth place']",['otto schultz'],['otto schultz'],[],['otto schultz'],['otto schultz']
5365,in which country was the cargo 200 produce,['Cargo 200'],[],"['country', 'cargo 200 produce']","['country', 'cargo 200 produce']",[],[],[],"['country', 'cargo 200 produce']"
5366,What is Pat Nixon's cause of death?,['Pat Nixon'],['pat nixon'],"['Pat Nixon', 'death']",['pat nixon'],['Pat Nixon'],['Pat Nixon'],['Pat Nixon'],['Pat Nixon']
5367,who directed the big knife,['The Big Knife'],['big knife'],['big knife'],['big knife'],[],[],[],['big knife']
5368,who is an artist under sanctuary records ,['Sanctuary Records'],['sanctuary records'],['sanctuary records'],['sanctuary records'],[],[],[],['sanctuary records']
5369,Where did they discover 8970 islandica?,['8970 Islandica'],['islandica'],['8970 islandica'],['8970 islandica'],[],[],['8970 islandica'],['8970 islandica']
5370,what is an American rock music band,['rock music'],"['what', 'american']",['American rock music band'],"['what', 'american rock music band']",['American'],['American'],['American'],['American']
5371,who produced the film a sailor-made man,['A Sailor-Made Man'],[],"['film', 'sailor-made man']","['film', 'sailor-made man']",[],[],[],"['film', 'sailor-made man']"
5372,What company produced the videogame NFL 97?,"[""NFL '97""]",['nfl 97'],"['company', 'videogame NFL 97']",['videogame nfl 97'],['NFL 97'],['NFL 97'],['NFL 97'],['NFL 97']
5373,what religion does newt gingrich practice ,['Newt Gingrich'],['newt gingrich'],"['religion', 'newt gingrich']",['newt gingrich'],['newt gingrich'],[],['newt gingrich'],['newt gingrich']
5374,what kind of music is on rhinoplasty?,['Rhinoplasty'],[],"['music', 'rhinoplasty']","['music', 'rhinoplasty']",[],[],[],"['music', 'rhinoplasty']"
5375,which language is spoken in amandla! a revolution in four part harmony,['Amandla!: A Revolution in Four-Part Harmony'],['amandla'],"['language', 'amandla', 'four part harmony']",['amandla'],[],[],['amandla'],"['language', 'amandla', 'four part harmony']"
5376,what is a 1921 drama film,['drama film'],[],['1921 drama film'],['1921 drama film'],[],[],[],['1921 drama film']
5377,What is luke wright's gender,['Luke Wright'],['luke wright'],"['luke wright', 'gender']",['luke wright'],[],[],['luke wright'],"['luke wright', 'gender']"
5378,who was the artist for the album classic masters,['Classic Masters'],['classic masters'],['album classic masters'],['album classic masters'],['masters'],[],['classic masters'],['album classic masters']
5379,Who is the actor that died from lung cancer?,['lung cancer'],[],"['actor', 'lung cancer']","['actor', 'lung cancer']",[],[],[],"['actor', 'lung cancer']"
5380,is the techniques reggae or rock,['The Techniques'],['reggae'],['techniques reggae or rock'],['techniques reggae or rock'],[],[],['reggae'],['techniques reggae or rock']
5381,which company produced westward ho the wagons!?,"['Westward Ho, the Wagons!']",['westward ho the wagons'],"['company', 'wagons']",['westward ho the wagons'],[],[],[],"['company', 'wagons']"
5382,What is sergei yuran's gender?,['Sergei Yuran'],['sergei yuran'],"['sergei yuran', 'gender']",['sergei yuran'],['sergei yuran'],['se'],['sergei yuran'],['sergei yuran']
5383,What kind of music is honey is cool?,['Honey Is Cool'],[],"['music', 'honey']","['music', 'honey']",[],[],[],"['music', 'honey']"
5384,who was involved in vietnam war,['Vietnam War'],['vietnam war'],['vietnam war'],['vietnam war'],[],[],['vietnam war'],['vietnam war']
5385,where was ben griffin born?,['Ben Griffin'],['ben griffin'],['ben griffin'],['ben griffin'],['ben griffin'],[],['ben griffin'],['ben griffin']
5386,What is the wallis and futuna a division of,['Wallis and Futuna'],['wallis and futuna'],['wallis and futuna'],['wallis and futuna'],[],[],['wallis and futuna'],['wallis and futuna']
5387,frances paige was born here.,['Frances Paige'],['frances paige'],['frances paige'],['frances paige'],['frances paige'],[],['frances paige'],['frances paige']
5388,What is a gameplay mode available in world empire,['World Empire'],['world empire'],['world empire'],['world empire'],[],[],['world empire'],['world empire']
5389,which olympic held 1984 summer olympics,['1984 Summer Olympics'],"['olympic', 'summer olympics']","['olympic', '1984 summer olympics']",['1984 summer olympics'],[],[],"['olympic', 'olympics']","['olympic', '1984 summer olympics']"
5390,what city was cristiano araújo born in,['Cristiano Araújo'],['cristiano araujo'],['city'],['cristiano araujo'],['cristiano araújo'],['c'],['cristiano araÃºjo'],['cristiano araújo']
5391,where did henry ainley breathe his last breath,['Henry Ainley'],['henry ainley'],"['henry ainley', 'last breath']",['henry ainley'],['henry ainley'],[],['henry ainley'],['henry ainley']
5392,who is 30788 angekauffmann named after,['30788 Angekauffmann'],['angekauffmann'],['30788 angekauffmann'],['30788 angekauffmann'],[],[],['angekauffmann'],['30788 angekauffmann']
5393,What gender is joseph lin,['Joseph Lin'],['joseph lin'],"['gender', 'joseph lin']",['joseph lin'],['joseph lin'],[],['joseph lin'],['joseph lin']
5394,Who wrote open house?,['Open House'],['open house'],['open house'],['open house'],[],[],[],['open house']
5395,What is the gender of donald prentice booth,['Donald Prentice Booth'],['donald prentice booth'],['donald prentice booth'],['donald prentice booth'],[],[],['donald prentice booth'],['donald prentice booth']
5396,Which position in football is played by bernhard cullmann,['Bernhard Cullmann'],['bernhard cullmann'],"['football', 'bernhard cullmann']",['bernhard cullmann'],['bernhard cullmann'],[],['bernhard cullmann'],['bernhard cullmann']
5397,Where was Alejandro Luna born?,['Alejandro Luna'],['alejandro luna'],['Alejandro Luna'],['alejandro luna'],['Alejandro Luna'],['Alejandro Luna'],['Alejandro Luna'],['Alejandro Luna']
5398,what football position is played by martin brittain,['Martin Brittain'],['martin brittain'],"['football position', 'martin brittain']",['martin brittain'],['martin brittain'],[],['martin brittain'],['martin brittain']
5399,what person was born in new orleans?,['New Orleans'],['new orleans'],"['person', 'new orleans']",['new orleans'],['new orleans'],[],['new orleans'],['new orleans']
5400,what is nigel levine's gender?,['Nigel Levine'],['nigel levine'],"['nigel levine', 'gender']",['nigel levine'],['nigel levine'],[],['nigel levine'],['nigel levine']
5401,Where was prasad barve's place of birth?,['Prasad Barve'],['prasad barve'],"['prasad barve', 'birth']",['prasad barve'],['prasad barve'],[],['prasad barve'],['prasad barve']
5402,who was the architect that designed the edifício copan,['Edifício Copan'],['edificio copan'],"['architect', 'edifício copan']",['edificio copan'],[],[],"['ed', 'ÃŃcio copan']","['architect', 'edificio copan']"
5403,What is the name of bikini model born in tokyo?,['Tokyo'],"['bikini', 'tokyo']","['bikini model', 'tokyo']","['tokyo', 'bikini model']",['tokyo'],[],['tokyo'],['tokyo']
5404,who was born in olomouc?,['Olomouc'],['olomouc'],['olomouc'],['olomouc'],['olomouc'],['olomouc'],['olomouc'],['olomouc']
5405,Who is a famous vocalist and conductor born in berlin?,['Berlin'],['berlin'],"['famous vocalist and conductor', 'berlin']",['berlin'],['berlin'],[],['berlin'],['berlin']
5406,Which language is the film valley of the wolves: palestine in,['Valley of the Wolves: Palestine'],['valley of the wolves: palestine'],"['language', 'wolves']",['valley of the wolves: palestine'],[],[],['valley of the wolves: palestine'],"['language', 'wolves']"
5407,what is the st. peter's church named for ,"[""St. Peter's Church, Munich""]","[""st. peter's church""]","['st. peter', 'church']","[""st. peter's church""]",['st. peter'],[],"[""st. peter's""]",['st. peter']
5408,Where was robert j. eaton born,['Robert James Eaton'],['robert j. eaton'],['robert j. eaton'],['robert j. eaton'],['robert j. eaton'],[],['robert j. eaton'],['robert j. eaton']
5409,whats an artist signed under pias recordings,['Play It Again Sam'],['pias recordings'],"['artist', 'pias recordings']",['pias recordings'],[],[],['pias recordings'],"['artist', 'pias recordings']"
5410,The football player kim ju-young plays what position?,['Kim Ju-young'],['kim ju-young'],"['football player kim ju-young', 'position']",['football player kim ju-young'],['kim ju-young'],[],['kim ju-young'],['football player kim ju-young']
5411,does keith olsen play bass guitar,['Keith Olsen'],['keith olsen'],"['keith olsen', 'bass guitar']",['keith olsen'],['keith olsen'],['keith o'],['keith olsen'],['keith olsen']
5412,what is a star within taurus (constellation)?,['Taurus'],['taurus'],"['taurus', 'constellation']",['taurus'],[],[],['taurus'],"['taurus', 'constellation']"
5413,where was eduard schonfeld's place of death?,['Eduard Schönfeld'],['eduard schonfeld'],"['eduard schonfeld', 'death']",['eduard schonfeld'],['eduard schonfeld'],[],['eduard schonfeld'],['eduard schonfeld']
5414,Where did john a. m. adair pass away?,['John A. M. Adair'],['john a. m. adair'],"['john', 'm. adair']",['john a. m. adair'],['john a. m. adair'],[],['john a. m. adair'],['john a. m. adair']
5415,where was flávio guimarães born,['Flávio Guimarães'],['flavio guimaraes'],['flávio guimarães'],['flavio guimaraes'],['flávio guimarães'],['fl'],['flÃ¡vio guimarÃ£es'],['flávio guimarães']
5416,who directed let's go to prison,"[""Let's Go to Prison""]","[""let's go to prison""]",['prison'],"[""let's go to prison""]",[],[],[],['prison']
5417,Who was born in nanded?,['Nanded-Waghala'],['nanded'],[],['nanded'],['nanded'],[],['nanded'],['nanded']
5418,which country is yahya khan from ,['Yahya Khan'],['yahya khan'],['country'],['yahya khan'],['yahya khan'],['ya'],['yahya khan'],['yahya khan']
5419,Which position does the football player dennis stevens play,['Dennis Stevens'],['dennis stevens'],"['position', 'football player', 'stevens']",['dennis stevens'],['dennis stevens'],[],['dennis stevens'],['dennis stevens']
5420,Is rolando navarrete female or male?,['Rolando Navarrete'],['rolando navarrete'],['rolando navarrete female or male'],['rolando navarrete female or male'],['rolando navarrete'],[],['rolando navarrete'],['rolando navarrete female or male']
5421,What soccer position does jacques tioye play,['Jacques Tioye'],['jacques tioye'],"['soccer position', 'jacques tioye']",['jacques tioye'],['jacques tioye'],[],['jacques tioye'],['jacques tioye']
5422,Who is someone that plays as a forward,['forward'],[],"['someone', 'forward']","['someone', 'forward']",[],[],[],"['someone', 'forward']"
5423,where was the death place of john perrin,['John Perrin'],['john perrin'],['john perrin'],['john perrin'],['john perrin'],[],['john perrin'],['john perrin']
5424,Name a vocalist that identifies as part of the african american ethnicity? ,['African Americans'],['african american'],"['vocalist', 'african american ethnicity']",['african american ethnicity'],['african american'],"['a', 'rican', 'an']",['african american'],['african american ethnicity']
5425,Where in texas was tracie laymon born?,['Tracie Laymon'],"['texas', 'tracie laymon']","['texas', 'tracie laymon']","['texas', 'tracie laymon']","['texas', 'tracie laymon']",[],"['texas', 'tracie laymon']","['texas', 'tracie laymon']"
5426,What is mike quade's gender,['Mike Quade'],['mike quade'],"['mike quade', 'gender']",['mike quade'],['mike quade'],[],['mike quade'],['mike quade']
5427,Is bud sprague male or female,['Bud Sprague'],['bud sprague'],['bud sprague male or female'],['bud sprague male or female'],[],[],['bud sprague'],['bud sprague male or female']
5428,what gender is kevin dundon ,['Kevin Dundon'],['kevin dundon'],"['gender', 'kevin dundon']",['kevin dundon'],['kevin dundon'],[],['kevin dundon'],['kevin dundon']
5429,who is the jazz musician,['jazz'],[],['jazz musician'],['jazz musician'],[],[],[],['jazz musician']
5430,which country gives newin chidchob his or her nationality,['Newin Chidchob'],['newin chidchob'],"['country', 'newin chidchob', 'or nationality']",['newin chidchob'],[],[],['newin chidchob'],"['country', 'newin chidchob', 'or nationality']"
5431,which organism classification does goodyera pubescens correspond to,['Goodyera pubescens'],['goodyera'],"['organism classification', 'goodyera pubescens']",['goodyera pubescens'],[],[],['goodyera pubescens'],"['organism classification', 'goodyera pubescens']"
5432,what language was spoken in delicious,['Delicious'],['delicious'],['language'],['delicious'],[],[],[],['language']
5433,which leader was the forum of caesar named after,['Forum of Caesar'],['caesar'],"['leader', 'caesar']",['caesar'],[],[],['forum of caesar'],"['leader', 'caesar']"
5434,who was the forward football player that is also a coach?,['forward'],[],"['forward football player', 'coach']","['forward football player', 'coach']",[],[],[],"['forward football player', 'coach']"
5435,what is joanna baillie's occupation,['Joanna Baillie'],['joanna baillie'],"['joanna baillie', 'occupation']",['joanna baillie'],['joanna baillie'],[],['joanna baillie'],['joanna baillie']
5436,Is ajahn chah a man or woman,['Ajahn Chah'],['ajahn'],"['ajahn', 'man or woman']",['ajahn'],['ajahn chah'],[],['ajahn chah'],['ajahn chah']
5437,who composed veronica?,['Veronica'],['veronica'],['veronica'],['veronica'],['veronica'],[],['veronica'],['veronica']
5438,What is daniel haglund's gender?,['Daniel Haglund'],['daniel haglund'],"['daniel haglund', 'gender']",['daniel haglund'],['daniel haglund'],[],['daniel haglund'],['daniel haglund']
5439,who is the writer of rififi,['Rififi'],['rififi'],['rififi'],['rififi'],[],[],['rififi'],['rififi']
5440,Where did henry roquemore perish,['Henry Roquemore'],['henry roquemore'],"['henry', 'perish']",['henry roquemore'],['henry roquemore'],[],['henry roquemore'],['henry roquemore']
5441,What is the nationality of clarence griffin,['Clarence Griffin'],['clarence griffin'],['clarence griffin'],['clarence griffin'],['clarence griffin'],[],['clarence griffin'],['clarence griffin']
5442,What time zone is canmore in,['Canmore'],['canmore'],['time zone'],['canmore'],['canmore'],[],['canmore'],['canmore']
5443,what country released friendly fire,['Friendly Fire'],[],"['country', 'friendly fire']","['country', 'friendly fire']",[],[],[],"['country', 'friendly fire']"
5444,What nationality is otto behaghel,['Otto Behaghel'],['otto behaghel'],"['nationality', 'otto behaghel']",['otto behaghel'],['otto behaghel'],[],['otto behaghel'],['otto behaghel']
5445,what kind of music is played by the reigning monarchs,['The Reigning Monarchs'],[],"['music', 'monarchs']","['music', 'monarchs']",[],[],[],"['music', 'monarchs']"
5446,what religion does charles edward stuart practice ,['Charles Edward Stuart'],['charles edward stuart'],"['religion', 'charles edward stuart']",['charles edward stuart'],['charles edward stuart'],[],['charles edward stuart'],['charles edward stuart']
5447,is the san luis reservoir in the united states or canada,['San Luis Reservoir'],"['san luis reservoir', 'united states', 'canada']",['united states or canada'],"['united states or canada', 'san luis reservoir']","['san luis', 'united states', 'canada']",[],"['san luis', 'united states', 'canada']","['united states or canada', 'san luis']"
5448,What position did Yacine Slatni play?,['Yacine Slatni'],['yacine slatni'],"['position', 'Yacine Slatni']",['yacine slatni'],['Yacine Slatni'],['Yacine Slatni'],['Yacine Slatni'],['Yacine Slatni']
5449,"What man was born in dallas, texas?",['Dallas'],"['dallas', 'texas']","['man', 'dallas', 'texas']","['texas', 'dallas']","['dallas', 'texas']",[],"['dallas', 'texas']","['texas', 'dallas']"
5450,Name a movie in the action film genre.,['action film'],[],['action film genre'],['action film genre'],[],[],[],['action film genre']
5451,which country does steven kaplan identify with,['Steven Kaplan'],['steven kaplan'],"['country', 'steven kaplan']",['steven kaplan'],['steven kaplan'],[],['steven kaplan'],['steven kaplan']
5452,which european country is beverley cross from,['Beverley Cross'],"['european', 'beverley cross']",['european country'],"['beverley cross', 'european country']",['european'],[],"['european', 'beverley cross']",['european country']
5453,What's a municipality in the netherlands,['Netherlands'],['netherlands'],['netherlands'],['netherlands'],[],[],[],['netherlands']
5454,what is adrian legg's gender?,['Adrian Legg'],['adrian legg'],"['adrian legg', 'gender']",['adrian legg'],['adrian legg'],[],['adrian legg'],['adrian legg']
5455,whats a location in the mountain time zone,['Mountain Time Zone'],[],['mountain time zone'],['mountain time zone'],[],[],[],['mountain time zone']
5456,what's one of the albums that the everly brothers put out,['The Everly Brothers'],['everly brothers'],"['albums', 'everly brothers']",['everly brothers'],['everly brothers'],[],['everly brothers'],['everly brothers']
5457,"Which football player was born in syracuse, new york?",['Syracuse'],"['syracuse', 'new york']","['football player', 'syracuse', 'new york']","['syracuse', 'new york']","['syracuse', 'new york']",[],"['syracuse', 'new york']","['syracuse', 'new york']"
5458,what is the gender of philip czaplowski?,['Philip Czaplowski'],['philip czaplowski'],['philip czaplowski'],['philip czaplowski'],['philip czaplowski'],[],['philip czaplowski'],['philip czaplowski']
5459,what was frank fontsere's place of birth,['Frank Fontsere'],['frank fontsere'],"['frank fontsere', 'birth']",['frank fontsere'],['frank fontsere'],[],['frank fontsere'],['frank fontsere']
5460,which country filmed analyze this,['Analyze This'],[],['country'],['country'],[],[],[],['country']
5461,is dimitris myrat male or female,['Dimitris Myrat'],['dimitris myra'],['dimitris myrat male or female'],['dimitris myrat male or female'],['dimitris myrat'],[],['dimitris myrat'],['dimitris myrat male or female']
5462,Which nation is eve newman originally from?,['Eve Newman'],['eve newman'],"['nation', 'eve newman']",['eve newman'],['eve newman'],[],['eve newman'],['eve newman']
5463,What's the non-multiplayer mode for single-player,['single-player video game'],[],['single-player'],['single-player'],[],[],[],['single-player']
5464,what country is the rage filmed in,['The Rage'],[],"['country', 'rage']","['country', 'rage']",[],[],[],"['country', 'rage']"
